instruction,output
"In switch 1, any PING request destined for 10.0.0.1 should go through port 3.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_00"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""1"",""icmpv4_type"":""8"",""ipv4_dst"":""10.0.0.1"",""actions"":""output=3""}"
"In switch 1, forward TCP traffic on port 80 destined for 10.0.0.3 through port 2.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_01"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""output=2""}"
"In switch 1, forward all TCP traffic not matching higher-priority rules through port 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_02"",""active"":""true"",""priority"":""50"",""eth_type"":""0x0800"",""ip_proto"":""6"",""actions"":""output=1""}"
Forward traffic entering on port 1 of switch 2 to port 2.,"{""switch"":""00:00:00:00:00:00:00:02"",""name"":""intent_03"",""active"":""true"",""priority"":""50"",""in_port"":""1"",""actions"":""output=2""}"
"In switch 4, block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 with a high priority, ensuring the switch operates as a firewall.","{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_04"",""active"":""true"",""priority"":""300"",""eth_type"":""0x0800"",""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""}"
"In switch 4, forward all traffic not matching higher-priority rules through port 1.","{""switch"":""00:00:00:00:00:00:00:04"",""name"":""intent_05"",""active"":""true"",""priority"":""50"",""actions"":""output=1""}"
"Forward TCP traffic on port 80 destined for 10.0.0.3 via interface 2 of switch 1, assigning it to queue 0 for prioritized handling.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_06"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=0,output=2""}"
"Forward UDP traffic on port 80 destined for 10.0.0.3 via interface 2, assigning it to queue 1 for prioritized handling in switch 1.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_07"",""active"":""true"",""priority"":""200"",""eth_type"":""0x0800"",""ip_proto"":""17"",""udp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""set_queue=1,output=2""}"
"In switch 1, forward ICMP (ping) packets destined to 10.0.0.1 out through port 3.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_08"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""1"",""icmpv4_type"":""8"",""ipv4_dst"":""10.0.0.1"",""actions"":""output=3""}"
"In node 1, route HTTP traffic (TCP port 80) with IPv4 destination 10.0.0.3/32 via interface 2.","{""switch"":""00:00:00:00:00:00:00:01"",""name"":""intent_09"",""active"":""true"",""priority"":""100"",""eth_type"":""0x0800"",""ip_proto"":""6"",""tcp_dst"":""80"",""ipv4_dst"":""10.0.0.3"",""actions"":""output=2""}"
