instruction,output
"In switch 1, any PING request destined for 10.0.0.1 should go through port 3.","{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x0800""},{""type"":""IP_PROTO"",""protocol"":1},{""type"":""IPV4_DST"",""ip"":""10.0.0.1/32""}]}}]}"
"In switch 1, forward TCP traffic on port 80 destined for 10.0.0.3 through port 2.","{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"In switch 1, forward all TCP traffic not matching higher-priority rules through port 1.","{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6}]}}]}"
Forward traffic entering on port 1 of switch 2 to port 2.,"{""flows"":[{""priority"":2,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000002"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""IN_PORT"",""port"":1}]}}]}"
"In switch 4, block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 with a high priority, ensuring the switch operates as a firewall.","{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_SRC"",""ip"":""10.0.0.1/32""},{""type"":""IPV4_DST"",""ip"":""10.0.0.4/32""}]}}]}"
"In switch 4, forward all traffic not matching higher-priority rules through port 1.","{""flows"":[{""priority"":80,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000004"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""1""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""}]}}]}"
"Forward TCP traffic on port 80 destined for 10.0.0.3 via interface 2 of switch 1, assigning it to queue 0 for prioritized handling.","{""flows"":[{""priority"":200,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":0},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
"Forward UDP traffic on port 80 destined for 10.0.0.3 via interface 2, assigning it to queue 1 for prioritized handling in switch 1.","{""flows"":[{""priority"":198,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""QUEUE"",""queueId"":1},{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IP_PROTO"",""protocol"":17},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""UDP_DST"",""udpPort"":80}]}}]}"
"In switch 1, forward ICMP (ping) packets destined to 10.0.0.1 out through port 3.","{""flows"":[{""priority"":102,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""3""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x0800""},{""type"":""IP_PROTO"",""protocol"":1},{""type"":""IPV4_DST"",""ip"":""10.0.0.1/32""}]}}]}"
"In node 1, route HTTP traffic (TCP port 80) with IPv4 destination 10.0.0.3/32 via interface 2.","{""flows"":[{""priority"":110,""timeout"":0,""isPermanent"":""true"",""deviceId"":""of:0000000000000001"",""treatment"":{""instructions"":[{""type"":""OUTPUT"",""port"":""2""}]},""selector"":{""criteria"":[{""type"":""ETH_TYPE"",""ethType"":""0x800""},{""type"":""IPV4_DST"",""ip"":""10.0.0.3/32""},{""type"":""IP_PROTO"",""protocol"":6},{""type"":""TCP_DST"",""tcpPort"":80}]}}]}"
