instruction,output
"In switch 1, any PING request destined for 10.0.0.1 should go through port 3.","{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":1,""icmpv4_type"":8,""ipv4_dst"":""10.0.0.1""},""actions"":[{""type"":""OUTPUT"",""port"":3}]}"
"In switch 1, forward TCP traffic on port 80 destined for 10.0.0.3 through port 2.","{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
"In switch 1, forward all TCP traffic not matching higher-priority rules through port 1.","{""dpid"":1,""table_id"":0,""priority"":50,""match"":{""eth_type"":2048,""ip_proto"":6},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
Forward traffic entering on port 1 of switch 2 to port 2.,"{""dpid"":2,""table_id"":0,""priority"":50,""match"":{""in_port"":1},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
"In switch 4, block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 with a high priority, ensuring the switch operates as a firewall.","{""dpid"":4,""table_id"":0,""priority"":300,""match"":{""eth_type"":2048,""ipv4_src"":""10.0.0.1"",""ipv4_dst"":""10.0.0.4""},""actions"":[]}"
"In switch 4, forward all traffic not matching higher-priority rules through port 1.","{""dpid"":4,""table_id"":0,""priority"":50,""match"":{},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
"Forward TCP traffic on port 80 destined for 10.0.0.3 via interface 2 of switch 1, assigning it to queue 0 for prioritized handling.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":0},{""type"":""OUTPUT"",""port"":2}]}"
"Forward UDP traffic on port 80 destined for 10.0.0.3 via interface 2, assigning it to queue 1 for prioritized handling in switch 1.","{""dpid"":1,""table_id"":0,""priority"":200,""match"":{""eth_type"":2048,""ip_proto"":17,""udp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""SET_QUEUE"",""queue_id"":1},{""type"":""OUTPUT"",""port"":2}]}"
"In switch 1, forward ICMP (ping) packets destined to 10.0.0.1 out through port 3.","{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":1,""icmpv4_type"":8,""ipv4_dst"":""10.0.0.1""},""actions"":[{""type"":""OUTPUT"",""port"":3}]}"
"In node 1, route HTTP traffic (TCP port 80) with IPv4 destination 10.0.0.3/32 via interface 2.","{""dpid"":1,""table_id"":0,""priority"":100,""match"":{""eth_type"":2048,""ip_proto"":6,""tcp_dst"":80,""ipv4_dst"":""10.0.0.3""},""actions"":[{""type"":""OUTPUT"",""port"":2}]}"
"In switch 1, route default TCP traffic via interface 1.","{""dpid"":1,""table_id"":0,""priority"":50,""match"":{""eth_type"":2048,""ip_proto"":6},""actions"":[{""type"":""OUTPUT"",""port"":1}]}"
