instruction,output
Any PING request destined for 10.0.0.1 should go through port 3.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 102, ""table_id"": 0, ""flow-name"": ""h1_ping"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.1/32""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""3""}}]}}]}}]}"
Forward TCP traffic on port 80 destined for 10.0.0.3 through port 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 110, ""table_id"": 0, ""flow-name"": ""high_bandwidth_path_to_h3"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.3/32"", ""ip-match"": {""ip-protocol"": 6}, ""tcp-source-port"": 80}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
Forward all TCP traffic not matching higher-priority rules through port 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""flow-name"": ""default_nonvideo"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}}]}"
Forward traffic entering on port 1 to port 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 2, ""table_id"": 0, ""flow-name"": ""flow1"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""in-port"": ""1""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
"Block all IPv4 traffic from 10.0.0.1 to 10.0.0.4 with a high priority, ensuring the switch operates as a firewall.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.4/32"", ""ipv4-source"": ""10.0.0.1/32""}, ""flow-name"": ""firewall_block_h1_to_h4"", ""instructions"": { ""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""drop-action"": {}}]}}]}, ""idle-timeout"": 0}]}"
Forward all traffic not matching higher-priority rules through port 1.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 80, ""table_id"": 0, ""hard-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}}, ""flow-name"": ""default_traffic"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""1""}}]}}]}, ""idle-timeout"": 0}]}"
"Forward TCP traffic on port 80 destined for 10.0.0.3 via interface 2, assigning it to queue 0 for prioritized handling.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 200, ""table_id"": 0, ""flow-name"": ""tcp_port80_queue0_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 0}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 6}, ""ipv4-destination"": ""10.0.0.3/32"", ""tcp-destination-port"": 80}}]}"
"Forward UDP traffic on port 80 destined for 10.0.0.3 via interface 2, assigning it to queue 1 for prioritized handling.","{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 198, ""table_id"": 0, ""flow-name"": ""udp_port80_queue1_to_h3"", ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""set-queue-action"": {""queue-id"": 1}}, {""order"": 1, ""output-action"": { ""output-node-connector"": ""2""}}]}}]}, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ip-match"": {""ip-protocol"": 17}, ""ipv4-destination"": ""10.0.0.3/32"", ""udp-destination-port"": 80}}]}"
Forward ICMP (ping) packets destined to 10.0.0.1 out through port 3.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 102, ""table_id"": 0, ""flow-name"": ""h1_ping"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.1/32""}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""3""}}]}}]}}]}"
Route HTTP traffic (TCP port 80) with IPv4 destination 10.0.0.3/32 via interface 2.,"{""flow-node-inventory:flow"": [{""id"": ""1"", ""priority"": 110, ""table_id"": 0, ""flow-name"": ""high_bandwidth_path_to_h3"", ""hard-timeout"": 0, ""idle-timeout"": 0, ""match"": {""ethernet-match"": {""ethernet-type"": {""type"": 2048}}, ""ipv4-destination"": ""10.0.0.3/32"", ""ip-match"": {""ip-protocol"": 6}, ""tcp-destination-port"": 80}, ""instructions"": {""instruction"": [{""order"": 0, ""apply-actions"": {""action"": [{""order"": 0, ""output-action"": {""output-node-connector"": ""2""}}]}}]}}]}"
