Sl.,ONOS Flow Rule 1,ONOS Flow Rule 2,Conflicting,Type of Conflict
1,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}]}}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
2,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",Yes,Shadowing
3," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}]}}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
4,"{'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '1'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}]}}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
5," {'priority': 1000, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.1/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}"," {'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
6," {'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}"," {'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
7,"{'priority': 500, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 6}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}, {'type': 'TCP_DST', 'tcpPort': 80}]}}"," {'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
8,"{'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}","{'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
9," {'priority': 499, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 1}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}"," {'flows': [{'priority': 200, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000004', 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IPV4_SRC', 'ip': '10.0.0.2/32'}, {'type': 'IPV4_DST', 'ip': '10.0.0.4/32'}]}}]}",No,
10," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '3'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.1/32'}]}}","{'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",No,
11," {'priority': 102, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'OUTPUT', 'port': '4'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x0800'}, {'type': 'IPV4_DST', 'ip': '10.0.0.2/32'}]}}","{'flows': [{'priority': 199, 'timeout': 0, 'isPermanent': 'true', 'deviceId': 'of:0000000000000001', 'treatment': {'instructions': [{'type': 'QUEUE', 'queueId': 0}, {'type': 'OUTPUT', 'port': '2'}]}, 'selector': {'criteria': [{'type': 'ETH_TYPE', 'ethType': '0x800'}, {'type': 'IP_PROTO', 'protocol': 17}, {'type': 'IPV4_DST', 'ip': '10.0.0.3/32'}, {'type': 'UDP_DST', 'udpPort': 80}]}}]}",No,
